Name,Sex,Bodyweight,Age,Squat,Bench,Deadlift,Total
Marissa Wilson,F,97.79,26,187.5,112.5,162.5,462.5
Sean Ryan,M,81.24,28,142.5,100,155,397.5
Matthew Mc Cracken,M,89.04,28,200,135,205,540
Joseph DeSimone,M,87.91,26,187.5,142.5,240,570
Kyle Taggart,M,88.36,31,192.5,150,230,572.5
Mike Leland,M,88.22,38,160,117.5,207.5,485
Alex Trumbull,M,97.3,29,152.5,120,227.5,500
Ryan Hirschman,M,115.98,29,200,115,215,530
Robert Dillingham,M,117.98,37,190,192.5,212.5,595
Jeanne Liu,F,46.58,25,100,40,110,250
Isupreme Watkins,M,108.41,29,192.5,150,230,572.5
Laura Siegle,F,53.8,28,100,57.5,150,307.5
Rachael Hardison,F,66.22,31,105,57.5,132.5,295
Alethea Lardner,F,81.92,32,107.5,62.5,140,310
Elizabeth Newton,F,80.6,29,62.5,52.5,112.5,227.5
Kevin Smith #2,M,59.42,33.5,97.5,90,175,362.5
Larry Dyles,M,87.09,35,245,177.5,250,672.5
John Dawson,M,100.79,26,162.5,92.5,202.5,457.5
Carman Burmester,F,65.9,24,105,52.5,130,287.5
Brennan Smith,M,80.7,25,177.5,102.5,235,515
Adam Perry,M,93.5,26,182.5,175,237.5,595
Patrick Wall,M,122.1,31,220,160,237.5,617.5
Gary Teeter,M,67.6,53,100,117.5,155,372.5
Alan Stiver,M,82.01,35,162.5,132.5,207.5,502.5
Scott Stengel,M,102.06,30,190,137.5,232.5,560
Max Zart,M,97.25,30,235,157.5,265,657.5
David Pignaloso,M,89.54,37,222.5,160,240,622.5
Andrew Beclen,M,147.42,26,207.5,127.5,215,550
Nick Fibelkorn,M,148.96,26,227.5,152.5,272.5,652.5
Kelly Griffith,F,53.48,34,82.5,47.5,117.5,247.5
Heather Machmer,F,55.97,48,75,45,100,220
Lauren Conrad,F,59.01,21,125.5,70,150.5,346
Rebecca Pell,F,59.92,25,117.5,60,137.5,315
Sarah Sickert,F,59.92,22,102.5,62.5,147.5,312.5
Elyse Osborn,F,59.01,22,97.5,55,125,277.5
Alaina Miczikus,F,66.32,24,100,52.5,135,287.5
Mary Lou Norris,F,62.37,52,102.5,60,115,277.5
Kim Doutt,F,72.57,57,77.5,62.5,105,245
Stephanie Cruz,F,79.79,27,110,60,137.5,307.5
Sharon Schwartz,F,80.33,53,105,52.5,140,297.5
Emma Thomas,F,81.6,16,92.5,45,132.5,270
Chris Redmond,F,78.24,45,87.5,52.5,122.5,262.5
Riki Napiorkowski,F,86.64,30,145,102.5,190,437.5
Christina Dean,F,85.64,33,122.5,72.5,167.5,362.5
Michelle Lawson,F,89.13,48,115,55,137.5,307.5
Erin Lewis,F,88.41,14,62.5,35,75,172.5
Autumn Weary,F,99.79,27,125,75,155,355
Bryan Ellenberger,M,67.27,26,150,105,217.5,472.5
Tuan Pham,M,66.36,34,137.5,102.5,182.5,422.5
Levi Lewis,M,66.81,17,147.5,82.5,162.5,392.5
Jake Hartmann,M,65.91,18,140,80,165,385
Ray Cruz,M,72.39,57,197.5,117.5,200,515
Rich Smith,M,70.49,25,170,110,227.5,507.5
James Lewis,M,74.57,19,152.5,110,220,482.5
Mason Mcquillen,M,74.16,18,155,77.5,182.5,415
Keith Schneider,M,81.65,26,207.5,132.5,250,590
Ryan Sherbonely,M,80.65,23,192.5,117.5,227.5,537.5
Brian Ennis,M,82.33,57,157.5,137.5,220,515
Jacob Rose,M,78.74,19,147.5,107.5,190,445
Dave Machmer,M,81.19,50,155,107.5,160,422.5
Troy Honard,M,87.63,23,185,135,227.5,547.5
Matt Lupo,M,87.63,18,195,117.5,215,527.5
Patrick Huntley,M,89.72,52,182.5,120,200,502.5
Josh Smith #21,M,89.09,34,175,105,202.5,482.5
Walter Heinl,M,87.45,34,140,120,207.5,467.5
Hunter Dale,M,87.91,16,142.5,92.5,165,400
Bugs Bayer,M,88.45,72,147.5,75,100,322.5
Lenny Creatura,M,97.98,60,210,160,265,635
Nate Thompkins,M,97.84,35,200,142.5,250,592.5
Nick Schneider,M,94.3,31,205,130,242.5,577.5
Mike Lupo,M,97.25,16,185,110,205,500
Chris Giglione,M,94.35,35,160,115,202.5,477.5
Travis Litz,M,107.73,30,232.5,187.5,180,600
Rich Buletko,M,106.46,21,210,142.5,220,572.5
Konzel Jason,M,106.91,39,177.5,95,197.5,470
Brian Germanoski,M,123.56,45,255,150,287.5,692.5
Isaac Whistler,M,123.38,18,245,165,250,660
Jeff Lawson,M,121.56,53,235,135,272.5,642.5
Andrew Rettger,M,121.61,27,177.5,120,227.5,525
Jeremy Burroughs,M,137.12,28,282.5,210,260,752.5
Bethany Jaeckle,F,72.8,27,115,70,150,335
Justin Schlossberg,M,73.07,34,147.5,115,187.5,450
Caleb Woodward,M,80.47,22,192.5,127.5,225,545
Chad Perry,M,108.68,42,205,135,242.5,582.5
Baron Dixon,M,139.71,51,182.5,142.5,278.5,603.5
Jessica Merritt,F,59.87,38,92.5,55,130,277.5
Michelle Etcho,F,74.75,28,125,60,125,310
Alethea Lardner,F,79.29,31,95,57.5,135,287.5
Jessica Jones #2,F,76.66,32,57.5,42.5,112.5,212.5
Joseph DiPeppe,M,73.84,33,142.5,97.5,175,415
Thomas Ellis,M,89.63,35,140,92.5,182.5,415
Zach Speicher,M,93.17,27,147.5,102.5,190,440
Hope Lancaster,F,102.15,26,142.5,65,127.5,335
Rob Dutton,M,131.09,37,260,140,262.5,662.5
Sidney Hemby,M,74.75,33,182.5,147.5,227.5,557.5
Joseph Melugin,M,82.1,20,92.5,50,137.5,280
Gary Teeter,M,55.84,54,92.5,112.5,137.5,342.5
Pelham Alan,M,80.29,33,162.5,127.5,197.5,487.5
Finch Ryan,M,89.13,28,217.5,150,262.5,630
Roberts Kimberly,F,56.11,48,90,57.5,125,272.5
Carmen Santiago,F,82.19,26,107.5,42.5,110,259.5
Alan Pelham,M,81.28,33,165,125,192.5,482.5
Ryan Finch,M,88.95,28,222.5,150,260,632.5
Mychal Johnson,M,197.99,27,155,175,205,535
Alyssa Turose,F,71.12,29.5,110,62.5,155,327.5
Brian Trail,M,87.41,27.5,190,155,265,610
Jerry Chavez,M,98.97,20.5,230,142.5,290.5,663
Alec Williamson,M,134.85,20.5,330,227.5,337.5,895
Ashley Christiansen,F,43.5,18,35,40,82.5,157.5
Buck Ammons,M,51.8,18,105,65,140,310
Anna Zak,F,51.8,14,45,30,77.5,152.5
Maxine Ferris,F,54.9,51,100,62.5,127.5,290
LaKeisha Kanen,F,59.9,42,100,57.5,120,277.5
Lauren Cooper,F,61.3,20,65,47.5,120,232.5
Lori Bailey,F,63.8,48,95,72.5,140,307.5
Ben Zak,M,66.9,48,110,97.5,152.5,360
Ashley Knowles,F,75,24,70,50,110,230
Jen Zak,F,69,41,85,52.5,112.5,250
Michelle Hutt,F,72.5,47,42.5,32.5,90,165
Donovan Burke,M,73,16,112.5,72.5,165,350
Mark Dutton Jr,M,73.7,16,145,80,202.5,427.5
Clifton Nelson,M,73.5,27,182.5,135,257.5,575
Jennifer Tillet,F,76.1,50,72.5,55,125,252.5
Rachel Mundell,F,80.4,35,102.5,65,117.5,285
Stephanie Pereira,F,81.1,30,100,42.5,142.5,285
Erin Rayle,F,86.4,33,92.5,42.5,97.5,232.5
Nick Grady,M,89,26,175,132.5,182.5,490
Seth Francis,M,89.4,17,152.5,107.5,220,480
David Sobota,M,89.9,35,162.5,110,220,492.5
Chris Grzebyk,M,100,31,217.5,135,237.5,590
Michael Gregory,M,109.8,28,200,175,205,580
Sam Kurtich,M,120,16,142.5,97.5,165,405
Austin Poff,M,120.9,24,195,130,250,575
Ricky Allred,M,123,32,197.5,125,237.5,560
Daniel Corridean,M,125,41,255,170,257.5,682.5
Joshua Strickland,M,127.1,27,237.5,167.5,247.5,652.5
Nathan Daniels,M,140.2,24,215,150,195,560
Ashley Christiansen,F,42.77,19,32.5,37.5,77.5,147.5
Kaitlyn Davis,F,46.08,26,92.5,55,125,272.5
Keri Davis,F,49.94,27,87.5,50,135,272.5
Caitlin Ruegg,F,48.17,28,95,55,107.5,257.5
Jennifer Waldron,F,50.48,45,80,47.5,117.5,245
Kim Roberts,F,51.39,48,77.5,52.5,110,240
Natasha Beasley,F,55.38,35,100,80.5,165,345
Bianca Luedeker,F,52.84,34,97.5,67.5,130,295
Leah Newton,F,54.52,29,90,45,107.5,242.5
Anna Zak,F,54.07,15,52.5,32.5,92.5,177.5
Cindy Weindorf,F,56.7,31,70,45,110,225
Naomi Kutin,F,65.41,16,137.5,60,160,357.5
Tricia Floyd,F,64.73,37,110,52.5,190,352.5
Lori Bailey,F,66.68,47,112.5,67.5,147.5,327.5
LaKeisha Kanen,F,63.96,43,110,65,142.5,317.5
Lesley DeAngelo,F,64.41,49,92.5,45,110,247.5
Kaja Ferebee,F,67.09,17,92.5,45,110,247.5
Emily Bourque,F,65.09,27,85,50,110,245
Corinne Deem,F,61.37,15,60,44,105,209
Maria Rojas,F,69.31,28,130,75,147.5,352.5
Kayla Meisner,F,73.3,24,130,72.5,147.5,350
Jennifer Tillett,F,71.67,50,77.5,57.5,130,265
Raquel Ganong,F,73.3,30,87.5,52.5,115,255
Kim Doutt,F,72.89,57,72.5,62.5,100,235
Michelle Hutt,F,72.26,47,47.5,32.5,87.5,167.5
Riki Napiorkowski,F,86.77,30,147.5,105,190,442.5
Rebecca Tucker,F,89.49,35,145,90,170,405
Tara Steadman,F,86.55,31,137.5,102.5,155,395
Amy Traver,F,89.09,51,80,50,150,280
Sarah Heminger,F,106.5,40,162.5,92.5,182.5,437.5
Shannon Scott,F,122.97,34,160,90,165,415
Karri Goodall,F,96.12,29,115,55,125,295
John Ammons,M,55.97,19,110,70,152.5,332.5
Kevin Smith #2,M,58.97,33,92.5,92.5,175,360
Marcus Khorsand,M,67.27,23,145,102.5,220,467.5
Corey McLaughlin,M,63.19,22,115,115,172.5,402.5
Ben Zak,M,67,48,127.5,100,160,387.5
Ian Bailey,M,67.36,18,127.5,85,142.5,355
Mark Dutton,M,74.16,16,155,87.5,210,452.5
Trevor Collazo,M,74.3,34,120,80,135,335
Kareem McMurrin,M,77.79,34,142.5,160,227.5,530
Dan Jared,M,78.11,29,175,127.5,212.5,515
Mike Rapposelli,M,79.83,26,152.5,125,220,497.5
Jayden Calloway,M,82.05,15,165,92.5,215,472.5
Benjamin Bedtke,M,79.11,29,125,77.5,192.5,395
James Logsdon,M,82.01,37,110,90,160,360
Eddie Altemose,M,80.2,34,107.5,75,155,337.5
William Waller,M,86.14,47,262.5,155,282.5,700
Brandon Russell,M,86.91,31,215,180,250,645
Brian Trail,M,87.68,27,182.5,150,262.5,595
Eathan Sanders,M,88.04,26,190,120,235,545
Nicholas Grady,M,89.86,26,192.5,137.5,192.5,522.5
Austin Carlson,M,89.81,29,177.5,115,215,507.5
Scott Resetar,M,89.81,31,182.5,130,190,502.5
Anthony Bannerman,M,84.28,47,135,160,195,490
Rob Clary,M,89.09,51,140,138,200,477.5
Brendan Whitaker,M,86.36,34,147.5,117.5,190,455
Hunter Dale,M,88.68,16,147.5,92.5,187.5,427.5
Jake Knuth,M,99.7,32,232.5,162.5,260,655
Adam Perry,M,92.99,27,205,177.5,267.5,650
Seth Riley,M,96.62,25,227.5,152.5,255,635
Kyle Farmer,M,96.62,26,220,145,265,630
Lacy Jackson,M,96.52,24,195,120,257.5,572.5
Josh Cue,M,98.16,34,195,135,242.5,572.5
Tyler Scheinost,M,93.39,33,192.5,142.5,220,555
Ryan Davis,M,97.89,28,152.5,130,192.5,475
David Zavadil,M,93.89,54,160,80,190,430
Jason Flood,M,97.98,34,135,115,175,425
Jim McKenna,M,99.56,69,70,132.5,120,322.5
Chesleigh Denison,M,109.18,30,252.5,162.5,290,705
Jeremy Beckner,M,105.01,30,232.5,170,262.5,665
Joseph Peer,M,106.91,25,225,157.5,265,647.5
Travis Cinfel,M,108.32,30,190,160,227.5,577.5
Tim Durrett,M,106.55,44,202.5,150,220,572.5
Taylor Patrick,M,107.95,25,182.5,135,227.5,545
Thomas Black,M,107.32,29,167.5,145,220,532.5
Collin Jennings,M,104.05,16,150,107.5,192.5,450
Shawn Fante,M,112.72,33,230,175,245,650
Taylor Matthews,M,122.97,30,212.5,160,277.5,650
Austin Poff,M,123.38,24,220,140,282.5,642.5
Mark Fleming,M,120.02,27,230,150,250,630
David West,M,111.4,27,210,137.5,255,602.5
Daryl Matzke,M,124.01,30,190,165,240,595
Jaylen Owens,M,114.99,17,185,117.5,227.5,530
